username_length,password_length,shannon_entropy,contains_SQL,contains_XSS,sql_count,xss_count,no_squotes,no_dquotes,true_label
15,10,3.931208948910322,False,False,0,0,0,0,1
14,7,4.152391277629865,False,False,0,0,0,0,1
11,7,3.2210972500579564,False,False,0,0,0,0,1
13,8,3.754441845713345,False,False,0,0,0,0,1
14,10,4.0536606896881855,False,False,0,0,0,0,1
14,10,4.0536606896881855,False,False,0,0,0,0,1
12,3,3.625,False,False,0,0,0,0,1
11,6,3.794653473544342,False,False,0,0,0,0,1
14,7,3.6635327548042538,False,False,0,0,0,0,1
12,10,3.849223912390625,False,False,0,0,0,0,1
11,12,3.772055208874201,False,False,0,0,0,0,1
13,9,3.882045108136863,False,False,0,0,0,0,1
12,10,4.262692390839622,False,False,0,0,0,0,1
14,11,3.9500637564362093,False,False,0,0,0,0,1
11,11,3.882045108136863,False,False,0,0,0,0,1
13,8,3.5726236638951634,False,False,0,0,0,0,1
14,9,3.6053885422075345,False,False,0,0,0,0,1
13,9,3.8279097821439705,False,False,0,0,0,0,1
14,8,4.142914673354254,False,False,0,0,0,0,1
12,9,4.095795255000932,False,False,0,0,0,0,1
11,8,3.9219280948873623,False,False,0,0,0,0,1
13,9,3.7950885863977324,False,False,0,0,0,0,1
11,9,3.6537567082870015,False,False,0,0,0,0,1
12,8,3.880179922675737,False,False,0,0,0,0,1
18,12,3.962103165155795,False,False,0,0,0,0,1
14,10,4.023465189601647,False,False,0,0,0,0,1
14,12,4.3845171317931,False,False,0,0,0,0,1
16,7,3.6053885422075345,False,False,0,0,0,0,1
12,6,4.03740119765411,False,False,0,0,0,0,1
11,5,3.6901165175936654,False,False,0,0,0,0,1
14,10,3.9434651896016466,False,False,0,0,0,0,1
17,12,4.148394345536403,False,False,0,0,0,0,1
11,11,3.849223912390625,False,False,0,0,0,0,1
13,10,4.136842188131012,False,False,0,0,0,0,1
13,10,4.16829583405449,False,False,0,0,0,0,1
13,7,3.7256507561120937,False,False,0,0,0,0,1
12,6,3.326360407952693,False,False,0,0,0,0,1
16,9,3.921029621737614,False,False,0,0,0,0,1
12,10,4.142914673354254,False,False,0,0,0,0,1
13,12,4.18083298720544,False,False,0,0,0,0,1
12,8,3.7849418274376423,False,False,0,0,0,0,1
12,11,4.053508854797679,False,False,0,0,0,0,1
12,6,3.9321380397593737,False,False,0,0,0,0,1
13,9,3.7950885863977324,False,False,0,0,0,0,1
12,6,3.7216117239699003,False,False,0,0,0,0,1
10,8,4.03740119765411,False,False,0,0,0,0,1
13,3,3.8521687236032816,False,False,0,0,0,0,1
11,8,3.7841837197791883,False,False,0,0,0,0,1
11,10,3.9139770731827515,False,False,0,0,0,0,1
10,7,3.503258334775645,False,False,0,0,0,0,1
12,10,3.936180434129756,False,False,0,0,0,0,1
15,10,4.085055102756476,False,False,0,0,0,0,1
15,10,3.873140679513133,False,False,0,0,0,0,1
12,7,3.9219280948873623,False,False,0,0,0,0,1
15,6,3.9139770731827506,False,False,0,0,0,0,1
13,10,4.053508854797679,False,False,0,0,0,0,1
13,10,4.136842188131013,False,False,0,0,0,0,1
14,10,3.8936606896881845,False,False,0,0,0,0,1
12,11,4.136842188131012,False,False,0,0,0,0,1
13,5,3.826874881864637,False,False,0,0,0,0,1
14,8,3.0124798907455586,False,False,0,0,0,0,1
15,9,4.003856189774724,False,False,0,0,0,0,1
13,12,3.9500637564362093,False,False,0,0,0,0,1
13,10,4.084962500721156,False,False,0,0,0,0,1
15,8,3.8239348962840567,False,False,0,0,0,0,1
14,6,3.7256507561120933,False,False,0,0,0,0,1
11,11,4.088779347361362,False,False,0,0,0,0,1
18,9,3.824862957617356,False,False,0,0,0,0,1
12,6,3.826874881864637,False,False,0,0,0,0,1
13,11,4.0536606896881855,False,False,0,0,0,0,1
11,6,3.3082708345352603,False,False,0,0,0,0,1
