username_length,password_length,shannon_entropy,contains_SQL,contains_XSS,sql_count,xss_count,no_squotes,no_dquotes,true_label
12,10,3.621175542919471,False,False,0,0,0,0,1
16,6,4.001822825622231,False,False,0,0,0,0,1
11,10,4.186704345910023,False,False,0,0,0,0,1
14,10,4.0536606896881855,False,False,0,0,0,0,1
12,12,4.023465189601646,False,False,0,0,0,0,1
15,11,4.1804513908921015,False,False,0,0,0,0,1
14,10,3.7034651896016464,False,False,0,0,0,0,1
12,8,3.7849418274376423,False,False,0,0,0,0,1
13,7,3.9754180179138325,False,False,0,0,0,0,1
12,7,3.7841837197791883,False,False,0,0,0,0,1
11,11,4.142914673354254,False,False,0,0,0,0,1
13,9,4.055958151615124,False,False,0,0,0,0,1
15,9,3.523856189774724,False,False,0,0,0,0,1
13,5,3.5766176449086657,False,False,0,0,0,0,1
13,8,3.6978458230844122,False,False,0,0,0,0,1
13,12,3.997952698660691,False,False,0,0,0,0,1
10,6,3.337175341123077,False,False,0,0,0,0,1
13,7,3.6897037321995474,False,False,0,0,0,0,1
14,8,4.175735869100492,False,False,0,0,0,0,1
12,11,4.334962500721156,False,False,0,0,0,0,1
12,10,4.088779347361362,False,False,0,0,0,0,1
16,10,3.8841550945958048,False,False,0,0,0,0,1
15,3,3.74741303953164,False,False,0,0,0,0,1
11,11,4.142914673354254,False,False,0,0,0,0,1
15,8,4.053508854797679,False,False,0,0,0,0,1
16,6,4.0559581516151235,False,False,0,0,0,0,1
13,6,3.6841837197791882,False,False,0,0,0,0,1
13,7,3.8208888513501886,False,False,0,0,0,0,1
13,11,4.083856189774724,False,False,0,0,0,0,1
14,9,3.9701755214643453,False,False,0,0,0,0,1
11,3,3.906890595608518,False,False,0,0,0,0,1
17,7,3.753269689515108,False,False,0,0,0,0,1
13,8,3.7887549139935026,False,False,0,0,0,0,1
13,8,3.3342094594480476,False,False,0,0,0,0,1
13,11,4.323856189774723,False,False,0,0,0,0,1
15,8,4.0220552088742005,False,False,0,0,0,0,1
12,6,3.826874881864636,False,False,0,0,0,0,1
12,11,4.220175521464345,False,False,0,0,0,0,1
13,7,3.7256507561120933,False,False,0,0,0,0,1
13,7,3.916126946588283,False,False,0,0,0,0,1
12,7,3.6841837197791882,False,False,0,0,0,0,1
